口感差,3,口感还可以，和711买卖的一样。,部分的生产日期较早，包装袋标示保质期为3个月。如果说一个月内吃不完，要注意查看，可能存在部分临近保质期。,  
物流慢,2,运输时间长达三天，这么热的天，仅一个小冰袋，收到货都是热乎乎的，还能不能吃？,收到货时候，鸡胸肉已经化冻。距离发货地廊坊超过3天时效的，特别是南方的买家，不建议购买。 放到冰箱冷藏后，吃了就闹肚子，剩下的已经扔掉了,  
包装差,2,泡沫箱随便包了下就送过来了，一个箱子里就一个冰袋，产品包装上表明0-10度保存，快递到时已经变成常温了。,谨慎购买吧。一打开一股扑鼻的臭味，接下来的也不敢吃了不能退货，还得一包包打开看有没有臭才能售后😂不会再买了,  
保质期短,2,部分的生产日期较早，包装袋标示保质期为3个月。如果说一个月内吃不完，要注意查看，可能存在部分临近保质期。,日期还行，还有两个多月，价钱也还算便宜，吃起来也不柴,  
味道一般,3,新奥尔良味还可以，其他感觉一般。,烧烤味和奥尔良味还可以,这个口味还不错，就是钠多了点儿,  
价格高,1,超级好吃！就是有点贵, ,  
售后服务差,1,谨慎购买吧。一打开一股扑鼻的臭味，接下来的也不敢吃了不能退货，还得一包包打开看有没有臭才能售后😂不会再买了, ,  
分量不足,1,肉挺大块的，和便利店买的一样，晚上这个价格比较优惠，多囤了一点，喜欢辣椒炒肉和奥尔良👍, ,  
保存不当,1,运输时间长达三天，这么热的天，仅一个小冰袋，收到货都是热乎乎的，还能不能吃？, ,  
口感单一,1,香草个人觉得有时候好吃有时候有点锈味呢？还是奥尔良稳定发挥, ,
