评价,评论类型,情感得分,置信度
低脂鸡胸肉肠，真的是太好吃了，也不贵，每次都要买很多,负面,0.29958086379717525,0.7004191362028247
经常买，原本买的是原味跟黑胡椒32根的那个版本，这次买错了，买了10根一包的，但是量还是可以，还有两包饼干送，挺好,中性,0.45802137826198386,0.9580213782619839
一直吃这**肉肠 健康减脂好吃 不油腻,负面,0.20629645622543885,0.7937035437745612
该款低脂鸡胸肉肠特别好吃，脂肪含量低，海盐黑胡椒味道浓郁，是减肥的好帮手，物超所值，值得购买！,正面,0.7542612356583784,0.7542612356583784
鸡胸肉肠不错，不油腻不怕长胖，有嚼劲好吃，这是第二次买了,负面,0.2478433729177666,0.7521566270822334
这低脂肉肠真的拯救了我的减肥期！肉质超紧实不像别的减肥食品那么柴。成分表超干净，吃着方便,正面,0.732535312035689,0.732535312035689
好吃，第二次回购了，味道不错！,正面,0.662639671808093,0.662639671808093
黑胡椒味很浓，口感哏啾，饱腹感强，热量低，在减脂零食里算好吃的了,中性,0.3954059149031898,0.8954059149031899
太快了昨天下单今天中午就收到了，一单位有十小包，喜欢黑吃胡椒味，烧烤味不能双拼下次试试烧烤味早上放手抓饼里面煎一下哈哈 生产日期是五月中旬的保质期四个月,负面,0.19389194546015853,0.8061080545398415
日期新鲜 买好几次了 售后有保障 饿了吃两条 不会担心长胖,中性,0.3896327028437135,0.8896327028437134
已經第二次回購，燒烤口味比原味好吃，賣家發貨很快，好評！,中性,0.5360382502736728,0.9639617497263272
还行，好吃。和图片一样一样的。,正面,0.7043364503113068,0.7043364503113068
口感味道：好 新鲜度：好 商品分量：足,正面,0.895,0.895
不错不错，买了好多了，口感还可以,正面,0.8324726952644874,0.8324726952644874
好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃,正面,0.8918599896021188,0.8918599896021188
好吃，蒂丽舍丝，昂宝礼物包，因他弱爆,中性,0.5611095174633488,0.9388904825366512
鸡肉肠味道不错，很好吃，开袋即食,正面,0.681945792203406,0.681945792203406
好吃不贵 一口咬下去肉粒感满满 大人小孩都爱吃,正面,0.8851765491195311,0.8851765491195311
鸡肉肠的口味很好，还不用担心脂肪含量高，会长胖,正面,0.7536283162252913,0.7536283162252913
第二次买了，口感不错，同事都说味道比山姆买的款好吃😋。日期新鲜。,中性,0.4848633259298617,0.9848633259298617
很好吃，减肥很合适，自己一直买,正面,0.7993780806682451,0.7993780806682451
朋友推荐的，健康又好吃，不长肉哦,正面,0.7209499201747268,0.7209499201747268
除了原味 不太喜欢 另外两个味道蛮喜欢吃的,正面,0.6462122202190078,0.6462122202190078
商家回复：因为每个人的口味不同，尤其对于甜咸这些的接受程度差异较大，建议您吃之前煎一下或者切段煮汤加蔬菜来改善口感。感谢您为我们提出的建议，咱们后续也会根据大众意见改善升级哦,负面,0.2296507406241688,0.7703492593758312
更多,中性,0.5980997177798684,0.9019002822201316
经常回购的低脂零食，原味的好吃的。,中性,0.4962839834496238,0.9962839834496238
太好吃了，太棒了脆脆的有脆骨，,正面,0.8107254373240875,0.8107254373240875
还不错，回购多次了，当小零食吃,中性,0.5684864528419183,0.9315135471580817
不错吧，挺香的，希望可以减肥成功！,正面,0.8571309683970965,0.8571309683970965
口感味道：好 包装品质：好 新鲜度：好 商品分量：好 保质期：好,正面,0.895,0.895
小朋友喜欢吃，每个味道都还不错。,正面,0.895,0.895
很好吃，裏面都是獨立包裝，吃起來很方便,中性,0.5846748300753384,0.9153251699246616
小红书刷到有人推荐，试一试口味先,正面,0.8065510198328794,0.8065510198328794
吃过好几次了，味道还是一如既往的好,正面,0.8455153750652489,0.8455153750652489
一直都复购的一款鸡胸肉产品，确实性价比还不错。,正面,0.8741907983224981,0.8741907983224981
很不错很不错很好吃，低卡健康，会回购。,正面,0.6719741746385819,0.6719741746385819
回购好几次了，味道很不错，当零食吃的,中性,0.5979208857760394,0.9020791142239606
非常好吃 太好吃了 从来没吃过这么好吃的东西,中性,0.5366531812523455,0.9633468187476545
商家回复：谢谢您支持和认可~ 客户的满意是我们最大的动力 期待与您的下一次合作哦~,中性,0.24891372387872868,0.7489137238787287
更多,中性,0.5980997177798684,0.9019002822201316
已经吃了，还挺好吃的，减脂期必备,正面,0.7381472777405943,0.7381472777405943
这个肠口感比我之前买的好吃 味道好多了,中性,0.47858828031110595,0.9785882803111059
有点咸，黑胡椒味挺浓，就是有点咸……,负面,0.25654029227183484,0.7434597077281652
商家回复：您好，因为每个人的口味不同，尤其对于甜咸这些的接受程度差异较大，建议您吃之前煎一下或者切段煮汤加蔬菜来改善口感。感谢提出的意见，咱们后续也会根据大众意见改善升级。,负面,0.263776403684676,0.7362235963153241
更多,中性,0.5980997177798684,0.9019002822201316
一直吃这个牌子，味道还不错，可以回购,中性,0.5096072718940305,0.9903927281059695
很不错，减重期晚上一个全麦面包两根鸡胸肉肠很满足了，口味很好,中性,0.5546726471839911,0.9453273528160089
朋友推荐买的，减脂期吃很好，蛋白质充足又不胖，棒棒哒,中性,0.48605645052377267,0.9860564505237727
好吃，还送了一袋魔芋面 是我喜欢的口味,正面,0.8390339822897808,0.8390339822897808
包装的蛮好的，味道还行吧，中规中矩,正面,0.8252808763152684,0.8252808763152684
还不错哦，嘴馋的时候吃一根，减脂期吃。,正面,0.700908932292715,0.700908932292715
1天后追评：个人还是觉得原味的比黑胡椒问的好吃哦！,负面,0.23052296097080469,0.7694770390291953
还不错，挺好吃的，送的也很快，下回还会再来的,正面,0.7798163158775283,0.7798163158775283
口感味道：味道很好 保质期：比较新，保质期到6月,中性,0.5623382472244856,0.9376617527755144
回购第二次了 减肥可以吃 味道很不错,正面,0.895,0.895
第一次购买，还可以嘴馋的时候可以解馋不长胖,中性,0.5277828185292615,0.9722171814707385
价格实惠，性价比高，绝对物超所值。,正面,0.8671192280524754,0.8671192280524754
很好，多次购买认准这个品牌没错,正面,0.7796382444311238,0.7796382444311238
挺好吃的，不会导致血糖升高，建议两餐中间食用！,正面,0.7107468244541026,0.7107468244541026
鸡肉肠好吃，活动价很划算,正面,0.7807252924858616,0.7807252924858616
最近妊糖都靠DGI来控糖，有成效！,中性,0.5580844148008757,0.9419155851991243
肉质紧实，口感扎实，减脂期补充蛋白质,中性,0.39136449360416536,0.8913644936041654
小朋友很喜欢吃，味道还不错,正面,0.895,0.895
低盐，能吃到鸡肉脆骨，味道一般，很淡，淀粉含量相对少。,中性,0.528087505335277,0.971912494664723
商家回复：控能鸡胸肉肠高蛋白无淀粉级，无油嫩蒸，低脂不怕胖，特别添加鸡胸软骨口感Q弹，很多顾客都非常喜欢想要多买，如果直接吃不太喜欢，建议您将鸡胸肉肠稍微煎一下再吃，口感会更丰富些。,负面,0.23961987422633546,0.7603801257736645
更多,中性,0.5980997177798684,0.9019002822201316
好吃还会回购烧烤味道的我超级喜欢,中性,0.5790625936849572,0.9209374063150428
味道鲜甜肥美，已经吃上了。,中性,0.5071223031304187,0.9928776968695813
有点咸，总体还行,中性,0.5684478920321333,0.9315521079678667
商家回复：因为每个人的口味不同，尤其对于甜咸这些的接受程度差异较大，建议您吃之前煎一下或者切段煮汤加蔬菜来改善口感。感谢您为我们提出的建议，咱们后续也会根据大众意见改善升级。,负面,0.2296507406241688,0.7703492593758312
更多,中性,0.5980997177798684,0.9019002822201316
速度很快！老人家很快隔天就收到,正面,0.7636906965087856,0.7636906965087856
