评价,评论类型,情感得分,置信度
三只松鼠鸡胸肉收到了，买的是奥尔良口味和黑胡椒口味，八袋加七袋吧，挺好吃，下次还来买,正面,0.7410036829021502,0.7410036829021502
宝贝收到了，日期新鲜，2025年6月6号的，没有涨袋的。包装很好，物流很快。,中性,0.4261353069696048,0.9261353069696048
第一次吃预制腌制鸡胸食品，味道挺一般的，跟真实肉类味道有差距。发货日期虽然是五月份中旬的，包装里边有油脂之类，应该是近期生产。除了味道不满意外，其他都还好，性价比不错，想购买建议尝鲜。,中性,0.4431723615422257,0.9431723615422257
挺好吃的，不柴，挺嫩的，油和碳水都比较少，为了口味好盐稍微多了些。,正面,0.6133186166937799,0.6133186166937799
奥尔良味儿是5月14号的，要是最新日期就好了 。,中性,0.3625062335708885,0.8625062335708885
商家回复：主人，感谢您选择松鼠家的美味零食，您的建议和反馈是松鼠家不断进步的动力，松鼠也会综合考虑主人的需求和建议，努力为主人带去更多美味，也希望主人后续能继续支持松鼠~,中性,0.5851809395336833,0.9148190604663167
更多,中性,0.5980997177798684,0.9019002822201316
真的好好吃！😋😋😋肉很扎实，黑椒味味道也不错（但其实我更喜欢吃辣的，只是没找到辣的口味）会考虑回购滴,正面,0.7980817663549892,0.7980817663549892
鸡胸的味道挺不错的快递物流也挺快的，整体来说非常的满意，价格也不算贵，还是很不错的，以后有需要的话还是会选择继续购买的，买点当小零食吃。在追剧或者休闲的时候，可以来上几片鸡胸。,正面,0.7809689395152353,0.7809689395152353
还可以搭配着面包吃的。奥良口味的会更好吃一点,正面,0.791890598043916,0.791890598043916
奥尔良的6月5号，黑胡椒6月3号。日期很新。口感不错。,负面,0.2849965972885908,0.7150034027114092
黑胡椒味的鸡胸肉味道超级鲜美，尤其是放在泡面里吃，别有一番风味，客服态度也非常好，及时解决了问题。,负面,0.3197799734234115,0.6802200265765885
口感味道：鲜嫩可口 新鲜度：非常新鲜 商品分量：分量足 保质期：时间长 包装品质：大气上档次,正面,0.8948791115316888,0.8948791115316888
宝贝很好，应该正品，物流很快，虽然外包装破损，货物一袋没少。,中性,0.3874810005308409,0.8874810005308409
冲着“三只松鼠”这个牌子买的。 品尝后来评价一下，味道还不错。而且小包装方便携带。,正面,0.7648818773490065,0.7648818773490065
宝贝收到了，就想着鸡胸肉又可以减脂又可以饱腹，所以才买的，准备用在运动前吃，这样就可以不饿也不胖的运动啦😄😄😄😄,中性,0.371789926859111,0.8717899268591109
味道还不错，每天都各吃一个口味,正面,0.8254384923802516,0.8254384923802516
